Messagenumber;ProducerSendTime;Consumer&ProducerSendTime;ConsumerTime;
0 ;0.183000;7.708500; 
0; ;3.868400;3.020500; 
1 ;0.194800;9.035700; 
1; ;4.369000;3.381000; 
2 ;0.236300;11.128700; 
2; ;4.835900;5.034400; 
3 ;0.347400;12.312500; 
3; ;4.708800;5.262000; 
4 ;0.097900;15.217900; 
4; ;5.523600;3.338900; 
5 ;0.107900;17.058500; 
5; ;8.365800;3.881400; 
6 ;0.073500;17.863100; 
6; ;6.902900;6.696200; 
7 ;0.046100;21.183900; 
7; ;8.752100;6.597600; 
8 ;0.117000;23.052100; 
8; ;4.865200;4.510200; 
9 ;0.212600;28.527300; 
9; ;5.740800;2.946100; 
CompleteTimeDuration;267.305500; 
